lat,lon,thickness_cm
28.62488315,-17.84884617,28.0
28.59622284,-17.8558077,16.0
28.59381079,-17.85783073,15.0
28.5899109,-17.85863199,12.0
28.58645722,-17.86214349,15.0
28.59246311,-17.86343559,22.0
28.59951934,-17.86127596,23.0
28.6006386,-17.85602677,22.0
28.7118385597244,-17.9007532579422,0.0
28.7163344627127,-17.8998770460069,0.0
28.720877153717,-17.8941008527636,0.0
28.7217023241803,-17.8890605074078,0.0
28.7237567434266,-17.8838011090681,0.0
28.7240055706024,-17.8770402407616,0.0
28.7295265564859,-17.8772146324575,0.0
28.7373741827995,-17.8813319778621,0.0
28.740423910749,-17.8800772083431,0.0
28.7218065338522,-17.875304830715,0.0
28.7174169672638,-17.8769041301697,0.0
28.7100882625818,-17.8791754756718,0.0
28.7075989274599,-17.8805791161507,0.0
28.7064419874288,-17.8861341296821,0.0
28.6879649745799,-17.9068739811212,0.0
28.6856372707858,-17.9092973876752,0.0
28.7021789611563,-17.8926685014568,0.0
28.6937528648272,-17.8973962177969,0.0
28.7916100002111,-17.784828504849,0.0
28.789251458861,-17.788563039214,0.0
28.7851256065444,-17.794645481289,0.0
28.7804978464202,-17.8011787896997,0.0
28.7766867498473,-17.8072527248627,0.0
28.7729692293064,-17.8118719780749,0.0
28.769698321645,-17.8148791714645,0.0
28.7644453034893,-17.8187668302453,0.0
28.7630218135491,-17.8238142646945,0.0
28.7639065323964,-17.8270525625265,0.0
28.7622675340191,-17.8300753519214,0.0
28.7629424157039,-17.83089485111,0.0
28.7640837597296,-17.8296103073991,0.0
28.7664841267303,-17.8329662841803,0.0
28.7666627718822,-17.8305914379156,0.0
28.766053109856,-17.8162317704714,0.0
28.610427,-17.85142,25.0
28.617708,-17.848135,25.0
28.609463,-17.840441,11.0
28.59707,-17.839578,10.0
28.591962,-17.838097,8.0
28.526535,-17.840377,0.1
28.62586,-17.856218,45.0
28.625004,-17.857152,50.0
28.554216,-17.838381,0.5
28.715506,-17.901512,0.0
28.719813,-17.89495,0.0
28.723747,-17.883541,0.0
28.74041,-17.880012,0.0
28.735306,-17.878003,0.0
28.720365,-17.87546,0.0
28.708376,-17.879795,0.0
28.6085646372193,-17.89896343878,10.0
28.603622919005,-17.9047967475494,7.0
28.609250480561,-17.8896601819886,29.0
28.6078478016522,-17.8860646832048,70.0
28.5910743317365,-17.8586254047627,10.0
28.5993284106542,-17.9249663145288,2.0
28.6222365473966,-17.8424892426484,8.0
28.5961354225257,-17.8573111362569,12.0
28.5861762112078,-17.8637558630084,20.0
28.6156929258698,-17.8495401638155,32.0
28.598890121376,-17.9222866303121,2.0
28.5827771337323,-17.8576956858856,7.0
28.5758542974334,-17.8570383607587,6.0
28.5690228891281,-17.8563223273269,4.0
28.5627182482892,-17.8545784945694,2.0
28.5536853581896,-17.8517396577313,1.0
28.622317,-17.869162,19.0
28.621146,-17.869554,23.0
28.628844,-17.868683,18.0
28.629793,-17.868769,20.0
28.630716,-17.868665,19.0
28.633527,-17.868318,17.0
28.634494,-17.86825,10.0
28.635377,-17.868176,14.0
28.631632,-17.868526,8.0
28.632613,-17.868441,8.0
28.73229,-17.8185,0.0
28.73239,-17.82278,0.0
28.748,-17.83311,0.0
28.74677,-17.82906,0.0
28.74484,-17.82516,0.0
28.7307,-17.82445,0.0
28.7315,-17.83068,0.0
28.73022,-17.83073,0.0
28.72935,-17.83335,0.0
28.72822,-17.83536,0.0
28.7266,-17.83547,0.0
28.72947,-17.83245,0.0
28.73838,-17.82419,0.0
28.73898,-17.82272,0.0
28.73861,-17.82743,0.0
28.73652,-17.82554,0.0
28.75291,-17.83067,0.0
28.75374,-17.8296,0.0
28.75118,-17.92281,0.0
28.74912,-17.91934,0.0
28.74757,-17.91158,0.0
28.7487,-17.9098,0.0
28.77314,-17.91012,0.0
28.77186,-17.9087,0.0
28.76577,-17.90258,0.0
28.76457,-17.90256,0.0
28.76932,-17.90339,0.0
28.77007,-17.90601,0.0
28.75577,-17.90579,0.0
28.75708,-17.9086,0.0
28.75795,-17.9099,0.0
28.75542,-17.90425,0.0
28.7722,-17.84985,0.0
28.77438,-17.85224,0.0
28.77469,-17.84916,0.0
28.77243,-17.85186,0.0
28.76599,-17.91191,0.0
28.76592,-17.91312,0.0
28.77519,-17.90736,0.0
28.77781,-17.90603,0.0
28.6229333333333,-17.8750333333333,35.0
28.6229833333333,-17.8758833333333,23.0
28.6258833333333,-17.87375,22.0
28.6208166666667,-17.87005,63.0
28.6209166666667,-17.8689666666667,95.0
28.6215666666667,-17.8683833333333,86.0
28.6229833333333,-17.8758833333333,23.0
28.6215666666667,-17.8683833333333,86.0
28.6258833333333,-17.87375,22.0
28.6209166666667,-17.8563333333333,95.0
28.62195,-17.8395833333333,11.0
28.6207,-17.8425833333333,13.0
28.6210166666667,-17.8432666666667,16.0
28.6171833333333,-17.84635,19.0
28.6135666666667,-17.8433166666667,19.0
28.6008166666667,-17.88885,24.0
28.5984,-17.8934,17.0
28.5988166666667,-17.8922,19.0
28.6044,-17.8792666666667,58.0
28.612334957581,-17.8636545628484,275.068
28.6124450478657,-17.8631420177847,237.088
28.6134563306267,-17.8638218566014,397.172
28.6148073503789,-17.8631423975065,459.603
28.6145763489667,-17.8621225360522,347.943
28.6100733934766,-17.8706886180764,653.955
28.6095288574947,-17.8722368081541,464.523
28.6089473593682,-17.8742788678085,308.742
28.6087543034891,-17.8753383764398,236.925
28.6083572606876,-17.8753392200457,183.308
28.6081940288875,-17.8763095535725,188.387
28.6091002545431,-17.8724084340617,355.103
28.6096348747001,-17.8713282173608,539.594
28.6098581760603,-17.8700195647513,456.533
28.6104928181958,-17.8682426026577,691.219
28.6119310227216,-17.8639291706398,222.251
28.6128407491575,-17.8636047626376,339.089
28.6133790772265,-17.8643634175125,553.075
28.6138717365567,-17.8628653763148,320.227
28.6182887843337,-17.8649633618232,360.562
28.6172546649882,-17.8638687446594,418.59
28.6165051928733,-17.8617245214409,293.655
28.618049081043,-17.8609290155715,185.126
28.617996691311,-17.8596960792824,139.462
28.6148193629475,-17.8597021416023,280.819
28.613613386373,-17.8615680228352,179.581
28.6136446143047,-17.8620387923712,221.563
28.6159353384885,-17.8609377816347,387.995
28.6183647862912,-17.8635017152521,276.279
28.6164993386853,-17.8598548974584,147.54
28.6167560479226,-17.8625298305397,362.432
28.6181417127408,-17.8625766048641,263.203
28.6183150151527,-17.8617864048331,215.451
28.6185983817744,-17.8614241376927,209.502
28.6182188486494,-17.8604914521476,146.518
28.6129294693241,-17.8624276523281,240.796
28.6134053121518,-17.8624555620005,291.867
28.612630558953,-17.8619596219087,179.3
28.6119186576792,-17.8621427713874,81.207
28.6120967004551,-17.861388988366,99.454
28.6093537556166,-17.8705714185105,426.339
28.6104478236616,-17.8696844950325,624.915
28.6115767916754,-17.8640987567941,154.115
28.6132739884804,-17.863320601474,322.359
28.6142468984536,-17.8636244662905,498.956
28.6160673842414,-17.862961492754,448.199
28.615865494899,-17.8618686696792,352.848
28.61717431265,-17.8618291929953,277.009
28.6169548228501,-17.8605771535507,209.757
28.6189674934709,-17.8646231604464,209.692
28.6182256212304,-17.8640330795113,294.924
28.6176533936633,-17.8642996914986,364.261
28.6196461112534,-17.8648796928245,142.553
28.6198777822231,-17.8653064100098,140.853
28.6200192436834,-17.8650121601999,107.944
28.6198720103447,-17.8645821122146,139.464
28.6207357194511,-17.866450390488,92.677
28.6203347189342,-17.8666968076089,106.384
28.6214149273279,-17.8657798548838,71.245
28.6185468113193,-17.863883852051,264.757
28.6189157679037,-17.8636270662496,203.275
28.6172456706217,-17.8610191650645,212.702
28.617835136521,-17.8634864689302,317.431
28.6172061610526,-17.8631973186373,460.203
28.6144241263084,-17.8609610858855,223.153
28.6131695690357,-17.8614110794127,205.585
