Volcano,Latitude,Longitude,Vent altitude,Year,Duration,TEM,Plume top height,Wind NOAA,Brunt-Väisälä frequency NOAA,Wind shear NOAA,Wind speed ERA,Brunt-Väisälä frequency ERA,Wind shear ERA
Miyakejima,34.094,139.526,775,2000,0.32,4.50E+08,2.3,15.9807631,0.01159654703,0.01403821198,17.59342697,0.01302206307,0.0168938766
Miyakejima,34.094,139.526,775,2000,6.25,1.23E+09,9,7.60733602,0.01139449861,0.001486660603,6.858376764,0.01121745527,0.001522460183
Miyakejima,34.094,139.526,775,2000,3.43,1.05E+10,16,8.285561143,0.01240063482,0.0009862091104,8.58042729,0.01204872425,0.001130392416
Soufrière Hills Montserrat,16.72,-62.18,915,1997,1,5.50E+08,11.3,4.918458145,0.01070480718,0.0007739164491,6.417266767,0.01080075076,0.001069169538
Nakadake - Asosan,32.884,131.104,1592,2015,0.075,2.70E+07,3.59,1.889492941,0.01589827772,0.001247767289,3.121694986,0.01486403885,0.001838408614
Nevado del Ruiz,4.892,-75.324,5400,1985,0.58,3.50E+10,15.9,7.194348115,0.01075691114,0.001339284121,12.3740099,0.009473749011,0.002198566327
Ngauruhoe - Tongariro,-39.157,175.632,2291,1975,1.25,2.86E+09,11,8.824223205,0.01044428615,0.001920988286,12.59879322,0.009960939464,0.003031885131
Okmok,53.43,-168.13,1073,2008,4.03,2.03E+11,16.5,11.45336729,0.01403423213,0.001199225787,9.11412888,0.01452999339,0.0009825355375
Okmok,53.43,-168.13,1073,2008,908,9.60E+11,6.7,8.94973705,0.01288582625,0.002819855538,7.553785707,0.01307258491,0.002471557118
Ontakesan ,35.893,137.48,2725,2014,6,1.00E+09,6,6.248983729,0.01324817729,0.003626679922,7.397961144,0.01391206308,0.004655921473
Pinatubo,15.13,120.35,1750,1991,0.88,1.40E+10,19,10.16001952,0.0131138582,0.001053259631,10.07010999,0.01291430426,0.00110073175
Pinatubo,15.13,120.35,1750,1991,6,4.07E+12,32,16.64106528,0.01753886896,0.001034036767,15.997968,0.01711927121,0.001004374551
Popocatépetl,19.023,-98.622,5452,1996,0.13,5.30E+08,9.45,9.126257974,0.009540093961,0.004146055299,6.73356157,0.01010470174,0.003440945001
Popocatépetl,19.023,-98.622,5452,1996,0.467,2.00E+07,8.5,10.03199881,0.0101755769,0.004384654681,9.931287203,0.0101383904,0.003852216234
Popocatépetl,19.023,-98.622,5452,1997,2.16,1.10E+09,13.5,21.7775871,0.01045519273,0.005458953856,19.86527987,0.009864260316,0.005131790351
Quizapu,-35.653,-70.761,3150,1932,22,9.96E+12,23,25.46287832,0.01699076613,0.001859687169,22.04487182,0.01770353432,0.001435943002
Redoubt,60.485,-152.742,3108,1989,0.383333333,7.50E+08,9,31.00814865,0.01120195094,0.008633640309,41.83356522,0.01194376725,0.01211871344
Redoubt,60.485,-152.742,3108,1989,1.033333333,2.12E+10,11,32.54392721,0.0134006565,0.007059079466,30.61772228,0.01285950128,0.006780631578
Redoubt,60.485,-152.742,3108,1989,0.15,5.00E+08,6.5,10.81984472,0.0137424529,0.006416227048,10.0980439,0.01564476247,0.005878148969
Redoubt,60.485,-152.742,3108,1990,1.45,3.90E+10,12,8.383968354,0.01539762477,0.001587601273,8.285940469,0.01515572795,0.001621791666
Redoubt,60.485,-152.742,3108,1990,0.25,7.45E+09,11.5,14.73454553,0.01739734914,0.00255849922,13.5039092,0.01708144812,0.002399911043
Redoubt,60.485,-152.742,3108,1990,0.216666667,3.50E+09,11.5,30.38394739,0.01380995041,0.005972286258,33.76067566,0.01338387116,0.006581941016
Redoubt,60.485,-152.742,3108,1990,0.333333333,8.75E+09,11,36.62414213,0.01182878188,0.00784104107,34.32542157,0.01122310782,0.007201620895
Redoubt,60.485,-152.742,3108,1990,0.1,2.50E+09,10.5,39.95575998,0.01678909603,0.009450756439,41.62338434,0.01640507863,0.009489102628
Redoubt,60.485,-152.742,3108,1990,0.066666667,2.00E+09,8.5,13.98149886,0.009521499239,0.004258153524,14.4307947,0.009586591119,0.004085188445
Redoubt,60.485,-152.742,3108,1990,0.083333333,1.70E+09,8.5,29.73465564,0.01172868859,0.009275862307,31.12065519,0.01042763636,0.009736388034
Redoubt,60.485,-152.742,3108,1990,0.133333333,4.45E+09,12.5,19.42310089,0.01588179772,0.003852729845,18.66475293,0.0157718202,0.003745045845
Redoubt,60.485,-152.742,3108,1990,0.166666667,1.35E+09,10.5,13.12055653,0.01158438575,0.002983456808,14.55933751,0.01090212825,0.003149527563
Redoubt,60.485,-152.742,3108,1990,0.233333333,1.60E+09,7,5.491827655,0.01083943175,0.002288286886,5.723082011,0.01004490691,0.003022339377
Redoubt,60.485,-152.742,3108,1990,0.133333333,5.00E+08,9,21.49430421,0.009909768672,0.005956536741,19.43392063,0.01011335827,0.005426795546
Redoubt,60.485,-152.742,3108,1990,0.116666667,1.75E+09,12,18.42223965,0.0158472246,0.003336510468,18.99169696,0.0156311553,0.003584117074
Redoubt,60.485,-152.742,3108,1990,0.116666667,9.00E+08,9,6.500890657,0.01066875406,0.00201028463,10.58809996,0.010250626,0.003889460651
Redoubt,60.485,-152.742,3108,1990,0.133333333,1.70E+09,10,15.50008331,0.01014052609,0.003975053713,16.07168646,0.01026477497,0.003783595463
Redoubt,60.485,-152.742,3108,1990,0.066666667,1.15E+09,10,3.056322744,0.01227393156,0.0005648663284,4.763761831,0.01137359659,0.001023011957
Redoubt,60.485,-152.742,2300,2009,0.83,9.60E+09,12.9,14.90061752,0.01596798221,0.002120659351,16.52568657,0.01633238272,0.002381501966
Redoubt,60.485,-152.742,2300,2009,0.275,4.40E+09,14.9,13.35625891,0.01642669136,0.001428853539,12.7602975,0.01662901727,0.001426739261
Redoubt,60.485,-152.742,2300,2009,0.258,1.51E+10,18.3,11.19980962,0.01697992625,0.0009567731112,10.17124358,0.01695794913,0.0008961871803
Redoubt,60.485,-152.742,2300,2009,0.233,4.60E+09,18.1,7.813646885,0.01712082171,0.0009716102304,9.074448785,0.01705046032,0.001010430944
Redoubt,60.485,-152.742,2300,2009,1,1.32E+10,12.9,6.324164421,0.0153782578,0.001005667543,6.507369408,0.01541221938,0.001124110513
Redoubt,60.485,-152.742,2300,2009,0.5,7.80E+09,14.9,23.4698158,0.01654561438,0.003017514561,23.41034443,0.01664193827,0.00309521373
Reventador,-0.077,-77.656,3562,2002,0.75,1.35E+11,17.3,5.750515904,0.01189171236,0.0007110343278,5.801732607,0.01176300016,0.0007465748852
Ruapehu,-39.28,175.57,2797,1995,8,3.25E+10,11,18.22189133,0.01136242913,0.003609117454,19.07491656,0.01074597124,0.003672134421
Ruapehu,-39.28,175.57,2797,1995,6.5,6.50E+09,11,32.02124935,0.01061424177,0.00623207385,27.53919136,0.009616653327,0.005044301216
Ruapehu,-39.28,175.57,2797,1996,12.5,4.51E+09,8,21.16120443,0.009678632687,0.006542485932,24.22829997,0.008931177149,0.007402957492
Santa Maria,14.757,-91.552,3772,1902,19,1.60E+13,28,7.059433898,0.01729697405,0.0006138493415,7.260475487,0.01733508486,0.0006283510998
Sarychev Peak,48.092,153.2,1450,2009,87,4.00E+11,12,3.699571294,0.01278191825,0.0004814999155,3.564146483,0.0124773321,0.0003918063916
Shinmoedake - Kirishimayaya,31.934,130.862,1421,2011,6,1.44E+10,7.3,32.40918735,0.01401001887,0.01030074343,31.23103243,0.01301675914,0.009457774294
Shinmoedake - Kirishimayaya,31.934,130.862,1421,2011,2,2.40E+09,7.4,27.10685273,0.01361434785,0.00854252983,25.51953695,0.01230694006,0.008171872589
Shishaldin,54.756,-163.97,2857,1999,2.65,3.64E+10,14.5,6.431019657,0.016166374,0.000668561879,8.902638443,0.01624771764,0.0009506306667
Soufrière St. Vincent,13.33,-61.18,1220,1979,0.103,1.25E+09,14,6.532968098,0.0111023035,0.0009763521983,6.853623931,0.01025375196,0.001057452048
Spurr,61.299,-152.251,2309,1992,4.05,3.12E+10,14.5,17.84758564,0.01434242026,0.002177772325,19.96523111,0.01456903675,0.002403881127
Spurr,61.299,-152.251,2309,1992,2.5,3.64E+10,13.7,16.67407413,0.01348307142,0.002547638547,13.32409807,0.01288254245,0.002101351922
Spurr,61.299,-152.251,2309,1992,3.28,3.90E+10,13.9,25.63006042,0.01432095916,0.003862546609,23.09550702,0.01416104089,0.003370262169
Stromboli,38.789,15.213,924,2003,0.0069,1.25E+08,5,11.12936308,0.01183772034,0.004287638151,13.11079513,0.0105059868,0.005003321434
Tungurahua,-1.467,-78.442,5023,2001,348,6.15E+09,8.4,6.386999351,0.01158797424,0.00236072696,7.277337448,0.01243629389,0.002412407176
Tungurahua,-1.467,-78.442,5023,2006,5,2.49E+10,16,5.855169959,0.01095385949,0.000646100641,6.192126014,0.01011404472,0.0007455838455
Tungurahua,-1.467,-78.442,5023,2013,1,6.72E+08,11.4,7.209164845,0.01004362196,0.001788314949,8.735808857,0.01033758475,0.002128295432
Tungurahua,-1.467,-78.442,5023,2014,0.43,5.40E+09,13.7,5.087269403,0.009961082078,0.0008329836749,5.785914188,0.009342542251,0.001147491744
Tyatya,44.353,146.252,500,1973,96,2.60E+11,8,13.74512791,0.01331869699,0.003428729694,16.35545368,0.01308257078,0.003950697008
Villarrica,-39.42,-71.93,2847,2015,0.42,1.42E+09,9.1,10.28681407,0.01041295194,0.002918396759,6.606839736,0.01004457244,0.001456143163
